location_id,vector_id,water,vegetation,temperature,elevation,erosion,scale,density,built,tech,light,fauna,weirdness,sound,dynamic
71,70,2.7,2.1,2.2,2.2,1.3,2.2,2.4,0.4,0.5,2.2,0.9,1.8,0.7,0.6
72,71,1.4,1.9,0.3,2.3,2.7,3.0,0.6,1.8,1.4,1.7,0.5,2.9,0.6,2.3
73,72,1.5,0.9,2.9,0.0,0.5,0.6,0.7,2.1,1.7,1.0,2.8,0.4,1.6,1.3
74,73,2.0,2.2,3.0,2.9,1.6,2.0,1.5,0.8,2.7,1.7,2.1,2.1,1.5,0.7
75,74,0.9,2.6,0.8,1.1,2.5,0.9,0.9,2.0,1.9,1.6,0.7,1.1,0.8,2.4
76,1,2.1,0.4,0.1,1.0,2.6,2.4,2.6,0.3,2.5,1.2,2.3,3.0,2.3,1.6
77,0,0.8,2.5,2.1,1.3,0.8,2.0,2.3,0.2,1.2,0.3,2.7,1.3,2.6,2.6
78,3,1.1,1.5,1.1,2.6,0.5,1.9,1.4,2.5,2.1,0.6,2.4,2.6,1.5,1.2
79,2,2.8,1.1,0.9,0.0,1.0,2.9,0.4,2.8,1.5,2.4,1.5,0.1,2.2,2.5
80,5,0.8,2.1,0.2,0.7,2.4,0.2,2.6,2.2,1.1,2.6,1.7,1.3,0.0,0.4
81,6,2.6,2.4,2.0,2.2,0.7,1.2,2.8,2.9,2.3,2.3,0.2,2.4,0.5,1.1
82,4,1.9,2.8,0.4,1.1,0.7,0.1,1.2,1.9,1.1,0.1,3.0,1.6,1.0,2.1
83,7,1.3,2.2,2.8,0.5,1.3,1.0,1.3,1.4,1.9,0.5,0.2,1.4,0.2,1.4
84,8,2.3,1.2,2.4,0.6,2.9,2.1,1.3,0.4,0.0,2.3,1.6,0.5,2.0,0.8
85,9,2.2,2.4,2.2,2.5,0.3,0.7,1.7,2.7,1.6,2.1,1.1,1.5,1.4,2.4
86,10,2.4,2.7,0.5,2.1,3.0,2.4,0.6,0.5,1.8,1.4,2.4,2.7,1.6,2.8
87,11,1.2,2.3,1.6,2.6,2.8,2.4,0.5,0.6,1.1,1.6,1.3,1.5,2.7,2.9
88,12,2.9,1.8,2.5,2.4,0.4,1.7,1.6,1.6,0.6,1.1,1.2,1.8,1.3,1.1
89,13,1.4,1.7,0.6,2.1,0.8,1.5,1.0,2.3,1.4,2.2,2.1,1.3,0.8,0.0
90,14,2.7,0.7,0.5,0.3,2.8,2.0,2.9,0.2,0.8,0.4,1.3,0.3,0.4,2.8
91,15,2.6,1.2,2.5,0.5,1.1,0.5,0.6,2.7,1.2,2.9,0.3,0.1,2.1,1.7
92,16,0.0,1.5,2.8,1.0,2.1,0.5,0.4,2.1,1.0,0.6,0.0,0.6,1.5,2.4
93,19,0.3,0.6,1.2,2.6,2.6,2.4,2.0,0.9,1.3,1.8,2.9,2.7,0.5,0.2
94,17,2.7,0.2,0.2,1.6,1.0,2.9,0.1,0.6,2.0,2.0,1.5,0.9,2.9,0.4
95,18,1.2,2.5,2.1,2.8,2.2,0.6,0.0,2.6,2.3,1.5,1.6,2.0,2.6,1.0
96,20,2.6,0.7,1.9,1.6,1.1,1.3,1.2,1.1,0.3,0.6,0.7,2.6,3.0,2.7
97,21,2.0,1.6,2.9,2.0,1.4,0.8,1.1,0.9,2.6,1.9,1.4,2.5,0.9,1.6
98,22,0.6,2.3,1.7,1.2,0.9,2.5,0.1,1.5,2.9,0.7,2.2,2.2,2.8,1.8
99,23,2.5,0.6,0.0,1.9,2.3,1.3,2.5,1.7,0.8,3.0,2.5,2.1,0.4,2.9
100,24,0.4,1.4,2.3,0.8,1.8,1.2,1.2,0.1,0.9,0.2,0.5,0.2,0.3,0.3
101,25,1.2,0.2,1.1,1.2,2.0,1.8,2.4,0.1,0.4,0.4,2.9,1.8,2.7,1.5
102,26,1.6,1.3,0.3,0.1,1.3,1.6,1.4,2.7,2.4,1.1,1.0,1.5,1.8,1.9
103,27,0.1,3.0,0.6,2.4,2.6,1.8,0.8,1.5,2.8,1.0,1.8,2.5,2.5,1.9
104,29,0.4,0.1,2.7,2.2,0.3,0.0,2.9,0.1,2.0,0.5,1.8,0.4,2.4,0.8
105,28,0.3,1.9,2.2,1.4,1.8,0.4,0.3,2.5,1.4,2.6,0.8,1.9,2.9,1.6
106,30,1.6,0.9,1.6,1.5,0.1,0.9,0.7,1.4,2.8,1.3,1.9,2.0,1.9,2.4
107,32,0.4,1.3,1.0,0.6,2.1,0.4,3.0,2.9,0.5,2.8,0.4,0.8,2.5,0.2
108,33,0.2,0.5,0.7,2.8,2.1,2.5,0.2,2.1,0.1,1.4,1.4,2.9,0.3,2.5
109,31,2.4,1.5,1.6,2.3,0.8,2.2,1.0,1.7,0.7,1.9,0.3,0.1,0.3,0.5
110,34,1.9,1.0,1.3,1.5,1.5,2.8,1.8,1.9,0.4,2.2,1.1,0.5,0.2,2.1
111,36,1.3,2.6,2.6,0.2,0.0,1.9,2.2,1.3,0.2,2.9,0.8,1.2,1.3,0.1
112,35,0.2,0.7,1.8,0.3,1.2,1.0,2.0,0.7,1.7,0.9,1.9,2.2,2.0,0.3
113,37,1.0,0.8,1.4,0.4,0.2,0.2,0.8,0.8,0.5,2.6,2.4,2.9,0.5,2.0
114,38,2.1,2.7,2.0,2.0,2.7,2.6,1.6,1.3,0.1,1.0,1.7,2.0,1.1,1.2
115,39,1.7,1.4,0.4,2.9,0.3,1.6,0.2,0.0,2.5,1.2,2.3,0.3,1.1,2.0
116,40,0.9,1.2,1.4,1.9,1.1,1.7,2.4,2.8,2.2,2.7,2.0,2.8,0.6,1.4
117,41,1.2,1.6,2.6,0.3,1.7,1.3,2.1,1.0,0.3,0.8,2.5,1.0,0.2,1.9
118,42,3.0,2.9,1.3,2.0,1.9,1.1,0.9,2.3,1.0,1.7,2.3,0.9,2.3,0.8
119,44,2.3,2.7,2.4,1.2,1.9,0.7,1.9,1.9,2.1,1.6,0.6,0.2,1.8,0.9
120,43,0.7,1.1,1.9,0.5,2.4,1.2,2.5,3.0,0.7,1.5,1.8,0.6,2.5,2.2
121,45,0.1,0.5,2.3,2.9,0.1,2.2,1.0,1.2,0.2,0.4,0.2,0.6,1.2,2.8
122,46,0.5,1.8,2.7,2.1,0.2,0.4,0.7,0.4,2.4,2.4,0.4,2.8,1.2,0.9
123,47,0.5,0.8,1.4,2.7,3.0,2.7,0.3,1.1,2.8,2.0,0.9,1.1,0.1,3.0
124,48,1.8,0.2,2.7,0.9,2.2,1.5,0.2,2.2,2.2,1.2,2.6,0.0,1.0,1.8
125,49,1.7,0.4,2.0,0.6,1.5,2.9,3.0,2.4,2.9,2.1,1.5,1.1,2.7,2.9
126,50,2.8,1.3,1.2,2.5,0.4,0.3,0.3,1.4,0.6,2.5,1.3,2.2,2.8,2.7
127,52,1.0,2.1,1.7,0.9,0.6,2.3,1.2,2.5,3.0,0.8,1.2,2.4,1.1,1.5
128,51,2.2,1.6,1.1,0.8,2.5,2.2,2.0,0.5,2.7,0.9,1.0,2.6,2.0,1.6
129,53,1.0,0.0,0.3,2.7,1.9,0.8,1.7,0.6,1.2,2.7,0.3,0.9,0.7,1.7
130,54,2.2,0.2,0.1,1.7,0.5,1.7,1.9,2.0,2.6,0.1,2.7,1.4,2.2,0.6
131,57,2.9,1.9,0.8,0.7,1.4,0.1,2.6,0.8,0.2,0.2,0.9,2.6,0.8,1.1
132,58,0.6,1.0,2.9,0.2,0.6,0.6,2.2,2.4,1.6,1.3,0.1,0.7,1.4,2.2
133,55,3.0,2.4,0.5,1.2,2.8,2.6,1.6,2.6,0.8,0.2,0.4,0.2,0.8,0.6
134,56,1.8,2.9,0.0,0.4,0.2,0.6,1.8,0.5,2.9,0.9,2.2,2.3,1.9,1.0
135,60,1.6,2.9,1.8,1.4,1.5,1.4,2.7,1.3,1.8,1.8,0.6,2.3,1.6,1.4
136,59,2.5,2.8,0.7,1.5,1.7,1.1,2.3,1.8,1.3,1.8,2.8,0.5,2.1,2.6
137,61,1.5,0.1,0.6,0.1,2.2,0.1,1.8,1.7,0.9,0.7,1.2,1.2,2.3,0.4
138,62,0.9,2.5,1.0,1.8,0.9,1.5,2.3,1.2,2.3,2.9,0.7,1.7,0.0,0.7
139,63,0.5,0.3,2.6,1.8,1.6,1.4,2.8,1.0,0.4,0.3,2.9,1.8,0.9,2.2
140,64,0.1,2.0,0.9,2.7,1.7,0.3,2.8,0.9,1.6,0.7,0.1,1.7,1.7,0.1
141,65,0.6,0.9,1.0,3.0,2.0,1.8,0.5,0.3,0.8,2.8,2.2,0.8,2.9,0.3
142,66,1.7,0.3,1.5,1.6,2.5,2.6,1.5,2.3,1.9,2.3,2.7,0.8,1.7,0.8
143,67,1.8,0.5,2.4,0.9,1.2,2.8,2.1,3.0,2.1,2.5,2.6,1.6,1.3,0.2
144,68,0.8,2.0,1.3,1.3,0.9,0.9,0.9,1.6,1.7,2.5,2.0,1.0,2.4,1.3
145,69,2.0,1.8,1.7,1.7,2.3,2.8,2.1,1.1,2.5,0.0,2.0,2.0,2.1,2.1
146,70,2.7,2.1,2.2,2.2,1.3,2.2,2.4,0.4,0.5,2.2,0.9,1.8,0.7,0.6
147,72,1.5,0.9,2.9,0.0,0.5,0.6,0.7,2.1,1.7,1.0,2.8,0.4,1.6,1.3
148,71,1.4,1.9,0.3,2.3,2.7,3.0,0.6,1.8,1.4,1.7,0.5,2.9,0.6,2.3
149,74,0.9,2.6,0.8,1.1,2.5,0.9,0.9,2.0,1.9,1.6,0.7,1.1,0.8,2.4
150,73,2.0,2.2,3.0,2.9,1.6,2.0,1.5,0.8,2.7,1.7,2.1,2.1,1.5,0.7
151,0,0.8,2.5,2.1,1.3,0.8,2.0,2.3,0.2,1.2,0.3,2.7,1.3,2.6,2.6
152,1,2.1,0.4,0.1,1.0,2.6,2.4,2.6,0.3,2.5,1.2,2.3,3.0,2.3,1.6
153,2,2.8,1.1,0.9,0.0,1.0,2.9,0.4,2.8,1.5,2.4,1.5,0.1,2.2,2.5
154,3,1.1,1.5,1.1,2.6,0.5,1.9,1.4,2.5,2.1,0.6,2.4,2.6,1.5,1.2
155,4,1.9,2.8,0.4,1.1,0.7,0.1,1.2,1.9,1.1,0.1,3.0,1.6,1.0,2.1
156,5,0.8,2.1,0.2,0.7,2.4,0.2,2.6,2.2,1.1,2.6,1.7,1.3,0.0,0.4
157,6,2.6,2.4,2.0,2.2,0.7,1.2,2.8,2.9,2.3,2.3,0.2,2.4,0.5,1.1
158,7,1.3,2.2,2.8,0.5,1.3,1.0,1.3,1.4,1.9,0.5,0.2,1.4,0.2,1.4
159,8,2.3,1.2,2.4,0.6,2.9,2.1,1.3,0.4,0.0,2.3,1.6,0.5,2.0,0.8
160,9,2.2,2.4,2.2,2.5,0.3,0.7,1.7,2.7,1.6,2.1,1.1,1.5,1.4,2.4
161,1,2.1,0.4,0.1,1.0,2.6,2.4,2.6,0.3,2.5,1.2,2.3,3.0,2.3,1.6
162,0,0.8,2.5,2.1,1.3,0.8,2.0,2.3,0.2,1.2,0.3,2.7,1.3,2.6,2.6
163,2,2.8,1.1,0.9,0.0,1.0,2.9,0.4,2.8,1.5,2.4,1.5,0.1,2.2,2.5
164,3,1.1,1.5,1.1,2.6,0.5,1.9,1.4,2.5,2.1,0.6,2.4,2.6,1.5,1.2
165,5,0.8,2.1,0.2,0.7,2.4,0.2,2.6,2.2,1.1,2.6,1.7,1.3,0.0,0.4
166,7,1.3,2.2,2.8,0.5,1.3,1.0,1.3,1.4,1.9,0.5,0.2,1.4,0.2,1.4
167,4,1.9,2.8,0.4,1.1,0.7,0.1,1.2,1.9,1.1,0.1,3.0,1.6,1.0,2.1
168,6,2.6,2.4,2.0,2.2,0.7,1.2,2.8,2.9,2.3,2.3,0.2,2.4,0.5,1.1
169,8,2.3,1.2,2.4,0.6,2.9,2.1,1.3,0.4,0.0,2.3,1.6,0.5,2.0,0.8
170,9,2.2,2.4,2.2,2.5,0.3,0.7,1.7,2.7,1.6,2.1,1.1,1.5,1.4,2.4
171,12,2.9,1.8,2.5,2.4,0.4,1.7,1.6,1.6,0.6,1.1,1.2,1.8,1.3,1.1
172,10,2.4,2.7,0.5,2.1,3.0,2.4,0.6,0.5,1.8,1.4,2.4,2.7,1.6,2.8
173,11,1.2,2.3,1.6,2.6,2.8,2.4,0.5,0.6,1.1,1.6,1.3,1.5,2.7,2.9
174,13,1.4,1.7,0.6,2.1,0.8,1.5,1.0,2.3,1.4,2.2,2.1,1.3,0.8,0.0
175,14,2.7,0.7,0.5,0.3,2.8,2.0,2.9,0.2,0.8,0.4,1.3,0.3,0.4,2.8
176,15,2.6,1.2,2.5,0.5,1.1,0.5,0.6,2.7,1.2,2.9,0.3,0.1,2.1,1.7
177,17,2.7,0.2,0.2,1.6,1.0,2.9,0.1,0.6,2.0,2.0,1.5,0.9,2.9,0.4
178,16,0.0,1.5,2.8,1.0,2.1,0.5,0.4,2.1,1.0,0.6,0.0,0.6,1.5,2.4
179,18,1.2,2.5,2.1,2.8,2.2,0.6,0.0,2.6,2.3,1.5,1.6,2.0,2.6,1.0
180,20,2.6,0.7,1.9,1.6,1.1,1.3,1.2,1.1,0.3,0.6,0.7,2.6,3.0,2.7
181,10,2.4,2.7,0.5,2.1,3.0,2.4,0.6,0.5,1.8,1.4,2.4,2.7,1.6,2.8
182,11,1.2,2.3,1.6,2.6,2.8,2.4,0.5,0.6,1.1,1.6,1.3,1.5,2.7,2.9
183,12,2.9,1.8,2.5,2.4,0.4,1.7,1.6,1.6,0.6,1.1,1.2,1.8,1.3,1.1
184,13,1.4,1.7,0.6,2.1,0.8,1.5,1.0,2.3,1.4,2.2,2.1,1.3,0.8,0.0
185,14,2.7,0.7,0.5,0.3,2.8,2.0,2.9,0.2,0.8,0.4,1.3,0.3,0.4,2.8
186,15,2.6,1.2,2.5,0.5,1.1,0.5,0.6,2.7,1.2,2.9,0.3,0.1,2.1,1.7
187,16,0.0,1.5,2.8,1.0,2.1,0.5,0.4,2.1,1.0,0.6,0.0,0.6,1.5,2.4
188,17,2.7,0.2,0.2,1.6,1.0,2.9,0.1,0.6,2.0,2.0,1.5,0.9,2.9,0.4
189,18,1.2,2.5,2.1,2.8,2.2,0.6,0.0,2.6,2.3,1.5,1.6,2.0,2.6,1.0
190,19,0.3,0.6,1.2,2.6,2.6,2.4,2.0,0.9,1.3,1.8,2.9,2.7,0.5,0.2
191,21,2.0,1.6,2.9,2.0,1.4,0.8,1.1,0.9,2.6,1.9,1.4,2.5,0.9,1.6
192,22,0.6,2.3,1.7,1.2,0.9,2.5,0.1,1.5,2.9,0.7,2.2,2.2,2.8,1.8
193,24,0.4,1.4,2.3,0.8,1.8,1.2,1.2,0.1,0.9,0.2,0.5,0.2,0.3,0.3
194,25,1.2,0.2,1.1,1.2,2.0,1.8,2.4,0.1,0.4,0.4,2.9,1.8,2.7,1.5
195,26,1.6,1.3,0.3,0.1,1.3,1.6,1.4,2.7,2.4,1.1,1.0,1.5,1.8,1.9
196,27,0.1,3.0,0.6,2.4,2.6,1.8,0.8,1.5,2.8,1.0,1.8,2.5,2.5,1.9
197,28,0.3,1.9,2.2,1.4,1.8,0.4,0.3,2.5,1.4,2.6,0.8,1.9,2.9,1.6
198,29,0.4,0.1,2.7,2.2,0.3,0.0,2.9,0.1,2.0,0.5,1.8,0.4,2.4,0.8
199,30,1.6,0.9,1.6,1.5,0.1,0.9,0.7,1.4,2.8,1.3,1.9,2.0,1.9,2.4
200,31,2.4,1.5,1.6,2.3,0.8,2.2,1.0,1.7,0.7,1.9,0.3,0.1,0.3,0.5
201,20,2.6,0.7,1.9,1.6,1.1,1.3,1.2,1.1,0.3,0.6,0.7,2.6,3.0,2.7
202,21,2.0,1.6,2.9,2.0,1.4,0.8,1.1,0.9,2.6,1.9,1.4,2.5,0.9,1.6
203,22,0.6,2.3,1.7,1.2,0.9,2.5,0.1,1.5,2.9,0.7,2.2,2.2,2.8,1.8
204,23,2.5,0.6,0.0,1.9,2.3,1.3,2.5,1.7,0.8,3.0,2.5,2.1,0.4,2.9
205,24,0.4,1.4,2.3,0.8,1.8,1.2,1.2,0.1,0.9,0.2,0.5,0.2,0.3,0.3
206,25,1.2,0.2,1.1,1.2,2.0,1.8,2.4,0.1,0.4,0.4,2.9,1.8,2.7,1.5
207,26,1.6,1.3,0.3,0.1,1.3,1.6,1.4,2.7,2.4,1.1,1.0,1.5,1.8,1.9
208,27,0.1,3.0,0.6,2.4,2.6,1.8,0.8,1.5,2.8,1.0,1.8,2.5,2.5,1.9
209,28,0.3,1.9,2.2,1.4,1.8,0.4,0.3,2.5,1.4,2.6,0.8,1.9,2.9,1.6
210,29,0.4,0.1,2.7,2.2,0.3,0.0,2.9,0.1,2.0,0.5,1.8,0.4,2.4,0.8
211,32,0.4,1.3,1.0,0.6,2.1,0.4,3.0,2.9,0.5,2.8,0.4,0.8,2.5,0.2
212,33,0.2,0.5,0.7,2.8,2.1,2.5,0.2,2.1,0.1,1.4,1.4,2.9,0.3,2.5
213,19,0.3,0.6,1.2,2.6,2.6,2.4,2.0,0.9,1.3,1.8,2.9,2.7,0.5,0.2
214,34,1.9,1.0,1.3,1.5,1.5,2.8,1.8,1.9,0.4,2.2,1.1,0.5,0.2,2.1
215,36,1.3,2.6,2.6,0.2,0.0,1.9,2.2,1.3,0.2,2.9,0.8,1.2,1.3,0.1
216,35,0.2,0.7,1.8,0.3,1.2,1.0,2.0,0.7,1.7,0.9,1.9,2.2,2.0,0.3
217,37,1.0,0.8,1.4,0.4,0.2,0.2,0.8,0.8,0.5,2.6,2.4,2.9,0.5,2.0
218,38,2.1,2.7,2.0,2.0,2.7,2.6,1.6,1.3,0.1,1.0,1.7,2.0,1.1,1.2
219,39,1.7,1.4,0.4,2.9,0.3,1.6,0.2,0.0,2.5,1.2,2.3,0.3,1.1,2.0
220,40,0.9,1.2,1.4,1.9,1.1,1.7,2.4,2.8,2.2,2.7,2.0,2.8,0.6,1.4
221,30,1.6,0.9,1.6,1.5,0.1,0.9,0.7,1.4,2.8,1.3,1.9,2.0,1.9,2.4
222,31,2.4,1.5,1.6,2.3,0.8,2.2,1.0,1.7,0.7,1.9,0.3,0.1,0.3,0.5
223,32,0.4,1.3,1.0,0.6,2.1,0.4,3.0,2.9,0.5,2.8,0.4,0.8,2.5,0.2
224,33,0.2,0.5,0.7,2.8,2.1,2.5,0.2,2.1,0.1,1.4,1.4,2.9,0.3,2.5
225,34,1.9,1.0,1.3,1.5,1.5,2.8,1.8,1.9,0.4,2.2,1.1,0.5,0.2,2.1
226,35,0.2,0.7,1.8,0.3,1.2,1.0,2.0,0.7,1.7,0.9,1.9,2.2,2.0,0.3
227,36,1.3,2.6,2.6,0.2,0.0,1.9,2.2,1.3,0.2,2.9,0.8,1.2,1.3,0.1
228,37,1.0,0.8,1.4,0.4,0.2,0.2,0.8,0.8,0.5,2.6,2.4,2.9,0.5,2.0
229,38,2.1,2.7,2.0,2.0,2.7,2.6,1.6,1.3,0.1,1.0,1.7,2.0,1.1,1.2
230,39,1.7,1.4,0.4,2.9,0.3,1.6,0.2,0.0,2.5,1.2,2.3,0.3,1.1,2.0
231,41,1.2,1.6,2.6,0.3,1.7,1.3,2.1,1.0,0.3,0.8,2.5,1.0,0.2,1.9
